fbgn	gene_support_score	best_downstream_priority	best_candidate_priority	best_gene_role	n_candidate_cres	candidate_cre_ids	n_primary_cres	primary_cre_ids	n_secondary_cres	secondary_cre_ids	n_recurrent_cres	recurrent_cre_ids	n_focal_supported_cres	focal_supported_cre_ids	n_high_priority_cres	high_priority_cre_ids	n_medium_priority_cres	medium_priority_cre_ids	n_exploratory_cres	exploratory_cre_ids	n_unique_tier1_clades	tier1_clades	max_total_tier1_clades_per_cre	max_focal_tier1_clades_per_cre	max_secondary_only_clades_per_cre	has_primary_assignment	has_secondary_assignment
FBgn0285944	2	exploratory	secondary_single	primary_candidate	1	DMEL_CRE_00115	1	DMEL_CRE_00115	0		0		0		0		0		1	DMEL_CRE_00115	1	teissieri_group	1	0	1	yes	no
FBgn0003137	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00186	0		1	DMEL_CRE_00186	0		0		0		0		1	DMEL_CRE_00186	1	immigrans_group	1	0	1	no	yes
FBgn0015024	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00082	0		1	DMEL_CRE_00082	0		0		0		0		1	DMEL_CRE_00082	1	rufa_group	1	0	1	no	yes
FBgn0020381	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00003	0		1	DMEL_CRE_00003	0		0		0		0		1	DMEL_CRE_00003	1	obscura_group	1	0	1	no	yes
FBgn0029747	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00029	0		1	DMEL_CRE_00029	0		0		0		0		1	DMEL_CRE_00029	1	teissieri_group	1	0	1	no	yes
FBgn0029894	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00042	0		1	DMEL_CRE_00042	0		0		0		0		1	DMEL_CRE_00042	1	obscura_group	1	0	1	no	yes
FBgn0030756	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00115	0		1	DMEL_CRE_00115	0		0		0		0		1	DMEL_CRE_00115	1	teissieri_group	1	0	1	no	yes
FBgn0032101	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00255	0		1	DMEL_CRE_00255	0		0		0		0		1	DMEL_CRE_00255	1	repleta_group	1	0	1	no	yes
FBgn0038919	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00175	0		1	DMEL_CRE_00175	0		0		0		0		1	DMEL_CRE_00175	1	obscura_group	1	0	1	no	yes
FBgn0041241	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00203	0		1	DMEL_CRE_00203	0		0		0		0		1	DMEL_CRE_00203	1	teissieri_group	1	0	1	no	yes
FBgn0051122	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00164	0		1	DMEL_CRE_00164	0		0		0		0		1	DMEL_CRE_00164	1	teissieri_group	1	0	1	no	yes
FBgn0264678	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00083	0		1	DMEL_CRE_00083	0		0		0		0		1	DMEL_CRE_00083	1	teissieri_group	1	0	1	no	yes
FBgn0265749	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00072	0		1	DMEL_CRE_00072	0		0		0		0		1	DMEL_CRE_00072	1	teissieri_group	1	0	1	no	yes
FBgn0265928	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00321	0		1	DMEL_CRE_00321	0		0		0		0		1	DMEL_CRE_00321	1	rufa_group	1	0	1	no	yes
FBgn0267759	1	exploratory	secondary_single	secondary_candidate	1	DMEL_CRE_00178	0		1	DMEL_CRE_00178	0		0		0		0		1	DMEL_CRE_00178	1	rufa_group	1	0	1	no	yes
