group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dazt	d_affinis	dmir	dper
azteca_affinis_miranda_group	DMEL_CRE_00050	all_same	dazt	ARID	present	d_affinis|dmir|dper	TEMP	present	present	present	present	present
azteca_affinis_miranda_group	DMEL_CRE_00051	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00057	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00059	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00060	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00061	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00062	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00063	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00065	all_same	dazt	ARID	uncertain	d_affinis|dmir|dper	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
azteca_affinis_miranda_group	DMEL_CRE_00066	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00067	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00071	all_same	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
