dmel_cre_id	dtei	d_simulans	d_lutescens	dsuz	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00127	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00131	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00133	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00134	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00136	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00137	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00143	present	present	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00144	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00145	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00146	present	present	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00149	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
DMEL_CRE_00154	present	present	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	teissieri_group	dtei|d_simulans|d_lutescens|dsuz	4
