dmel_cre_id	dsub	dbif	dobs	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00034	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00035	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00036	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00037	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00040	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00041	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00043	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00046	turnover_candidate	uncertain	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00047	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00049	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00050	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00051	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00053	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00054	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00055	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00057	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00058	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00059	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00060	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00061	turnover_candidate	present	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00062	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00063	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00064	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00066	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00067	uncertain	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00068	turnover_candidate	uncertain	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00070	uncertain	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00071	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
